file_name	new addition	species	neighbour_count	rgg_gene_count
GCA_000146975	False	Streptococcus pneumoniae AP200, complete genome.	0	6
GCA_000147095	False	Streptococcus pneumoniae 670-6B, complete genome.	0	7
GCA_000148585	False	Streptococcus mitis NCTC 12261 chromosome, complete genome.	0	4
GCA_000164675	False	Streptococcus parasanguinis ATCC 15912, complete genome.	0	5
GCA_000167435	False	Streptococcus pyogenes strain M49 591 chromosome, complete genome.	0	3
GCA_000168355	False	Streptococcus suis 05HAS68, complete genome.	0	0
GCA_000180515	False	Streptococcus pneumoniae SPNA45, complete genome	0	7
GCA_000182875	False	Streptococcus thermophilus ND03, complete genome.	3	6
GCA_000186405	False	Streptococcus suis JS14, complete genome.	1	1
GCA_000187585_1	True	Streptococcus peroris ATCC 700780 SCAFFOLD3, whole genome shotgun sequence	0	3
GCA_000187935	False	Streptococcus parauberis NCFD 2020 Noncontiguous_Finished_Chromosome chromosome, whole genome shotgun sequence.	0	0
GCA_000188015_2	True	Streptococcus ictaluri 707-05 Contig1217055106, whole genome shotgun sequence	0	0
GCA_000188715	False	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394, complete genome.	0	4
GCA_000196055	False	Unknown	0	0
GCA_000196595	False	Streptococcus pneumoniae TCH8431/19A, complete genome.	0	5
GCA_000203195	False	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069 complete chromosome sequence, strain ATCC BAA-2069	0	8
GCA_000204625	False	Streptococcus suis ST3, complete genome.	0	0
GCA_000210935	False	Streptococcus pneumoniae INV200 genome.	0	6
GCA_000210955	False	Streptococcus pneumoniae OXC141 complete genome	0	4
GCA_000210975	False	Streptococcus pneumoniae INV104 genome.	0	3
GCA_000210995	False	Streptococcus pneumoniae SPN034156 draft genome	0	3
GCA_000211015	False	Streptococcus pneumoniae SPN034183 draft genome	0	3
GCA_000211035	False	Streptococcus pneumoniae SPN994038 draft genome	0	3
GCA_000211055	False	Streptococcus pneumoniae SPN994039 draft genome	0	3
GCA_000211075	False	Streptococcus pneumoniae SPN032672 draft genome.	0	4
GCA_000211095	False	Streptococcus pneumoniae SPN033038 draft genome.	0	4
GCA_000213825	False	Streptococcus parauberis KCTC 11537, complete genome.	1	1
GCA_000219765	False	Streptococcus equi subsp. zooepidemicus ATCC 35246, complete genome.	2	8
GCA_000221985	False	Streptococcus pseudopneumoniae IS7493, complete genome.	0	8
GCA_000230295	False	Streptococcus pyogenes Alab49, complete genome.	0	3
GCA_000231865	False	Streptococcus suis SS12, complete genome.	1	1
GCA_000231885	False	Streptococcus suis D9, complete genome.	0	1
GCA_000231905	False	Streptococcus suis D12, complete genome.	0	1
GCA_000231925	False	Streptococcus suis ST1, complete genome.	0	1
GCA_000233575	False	Streptococcus suis A7, complete genome.	1	1
GCA_000246835	False	Streptococcus infantarius subsp. infantarius CJ18, complete genome.	1	5
GCA_000250905	False	Streptococcus pyogenes MGAS15252, complete genome.	0	3
GCA_000250925	False	Streptococcus pyogenes MGAS1882, complete genome.	0	3
GCA_000251085	False	Streptococcus pneumoniae ST556, complete genome.	0	5
GCA_000253155	False	Streptococcus oralis Uo5 complete genome sequence	0	4
GCA_000253315	False	Streptococcus salivarius JIM8777 complete genome	0	1
GCA_000253335	False	Streptococcus salivarius CCHSS3 complete genome	1	4
GCA_000253395	False	Streptococcus thermophilus JIM 8232 complete genome	6	8
GCA_000262145	False	Streptococcus parasanguinis FW213, complete genome.	1	5
GCA_000262675	False	Streptococcus thermophilus MN-ZLW-002, complete genome.	2	6
GCA_000270145	False	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 DNA, complete genome.	0	7
GCA_000270165	False	Streptococcus pasteurianus ATCC 43144 DNA, complete genome.	0	3
GCA_000271865	False	Streptococcus mutans GS-5, complete genome.	1	2
GCA_000273445	False	Streptococcus pneumoniae TIGR4 chromosome, whole genome shotgun sequence.	0	4
GCA_000275625	False	Streptococcus pyogenes HKU QMH11M0907901 contig00001 chromosome, whole genome shotgun sequence.	0	3
GCA_000283635	False	Streptococcus macedonicus ACA-DC 198 main chromosome complete genome	0	5
GCA_000284575	False	Streptococcus mutans LJ23 DNA, complete genome.	1	2
GCA_000294495	False	Streptococcus suis S735, complete genome.	1	1
GCA_000299015	False	Streptococcus pneumoniae gamPNI0373, complete genome.	0	3
GCA_000299135	False	Streptococcus agalactiae GD201008-001, complete genome.	0	2
GCA_000302475	False	Streptococcus agalactiae strain SA20, complete genome.	0	2
GCA_000305335	False	Streptococcus phage YMC-2011, complete genome.	0	3
GCA_000306805	False	Streptococcus intermedius JTH08 DNA, complete genome.	2	4
GCA_000307185	False	Streptococcus dysgalactiae subsp. equisimilis RE378 DNA, complete genome.	0	4
GCA_000307535	False	Streptococcus pyogenes A20, complete genome.	0	3
GCA_000317855	False	Streptococcus dysgalactiae subsp. equisimilis AC-2713, complete genome	0	3
GCA_000344765	False	Streptococcus suis SC070731, complete genome.	1	1
GCA_000349925	False	Streptococcus pyogenes M1 476 DNA, complete genome.	0	3
GCA_000376985_1	True	Streptococcus henryi DSM 19005 F601DRAFT_scaffold00001.1_C, whole genome shotgun sequence	0	0
GCA_000377005_1	True	Streptococcus minor DSM 17118 F602DRAFT_scaffold00001.1_C, whole genome shotgun sequence	0	1
GCA_000379985_1	True	Streptococcus caballi DSM 19004 A3GSDRAFT_scaffold_9.10, whole genome shotgun sequence	0	1
GCA_000380005_1	True	Streptococcus didelphis DSM 15616 A3GUDRAFT_scaffold_9.10, whole genome shotgun sequence	0	1
GCA_000380025_1	True	Streptococcus entericus DSM 14446 A3GWDRAFT_scaffold_9.10, whole genome shotgun sequence	0	0
GCA_000380045_1	True	Streptococcus marimammalium DSM 18627 A3I1DRAFT_scaffold_9.10, whole genome shotgun sequence	0	0
GCA_000380105_1	True	Streptococcus orisratti DSM 15617 A3I7DRAFT_scaffold_9.10, whole genome shotgun sequence	0	0
GCA_000380125_1	True	Streptococcus ovis DSM 16829 A3I9DRAFT_scaffold_9.10, whole genome shotgun sequence	0	2
GCA_000380145_1	True	Streptococcus thoraltensis DSM 12221 A3IADRAFT_scaffold_9.10, whole genome shotgun sequence	0	0
GCA_000385925	False	Streptococcus cristatus AS 1.3089 chromosome, complete genome.	0	3
GCA_000390245	False	Streptococcus suis TL13, complete genome.	0	0
GCA_000403625	False	Streptococcus iniae SF1, complete genome.	0	2
GCA_000420785_1	True	Streptococcus hyovaginalis DSM 12219 G574DRAFT_scaffold00037.37_C, whole genome shotgun sequence	0	1
GCA_000422045	False	Streptococcus pyogenes HSC5, complete genome.	0	3
GCA_000423725_1	True	Streptococcus devriesei DSM 19639 G573DRAFT_scaffold00017.17_C, whole genome shotgun sequence	0	0
GCA_000423745_1	True	Streptococcus plurextorum DSM 22810 G575DRAFT_scaffold00033.33_C, whole genome shotgun sequence	0	0
GCA_000423765_1	True	Streptococcus porci DSM 23759 G576DRAFT_scaffold00035.35_C, whole genome shotgun sequence	0	0
GCA_000425025_1	True	Streptococcus castoreus DSM 17536 H346DRAFT_scaffold00042.42_C, whole genome shotgun sequence	0	0
GCA_000427035	False	Streptococcus agalactiae 09mas018883 complete genome	0	2
GCA_000427055	False	Streptococcus agalactiae ILRI112 complete genome	0	3
GCA_000427075	False	Streptococcus agalactiae ILRI005 complete genome	0	3
GCA_000441535	False	Streptococcus lutetiensis 033, complete genome.	0	3
GCA_000448685	False	Streptococcus salivarius strain HSISS4, complete genome.	0	2
GCA_000463355	False	Streptococcus intermedius B196, complete genome.	2	4
GCA_000463385	False	Streptococcus intermedius C270, complete genome.	0	3
GCA_000463395	False	Streptococcus constellatus subsp. pharyngis C232, complete genome.	1	5
GCA_000463425	False	Streptococcus constellatus subsp. pharyngis C1050, complete genome.	1	5
GCA_000463445	False	Streptococcus constellatus subsp. pharyngis C818, complete genome.	1	5
GCA_000463465	False	Streptococcus anginosus C1051, complete genome.	0	2
GCA_000463505	False	Streptococcus anginosus C238, complete genome.	0	2
GCA_000471985	False	Streptococcus suis YB51, complete genome.	0	0
GCA_000478925	False	Streptococcus anginosus subsp. whileyi MAS624 DNA, complete genome.	0	2
GCA_000479315	False	Streptococcus sp. I-P16, complete genome.	0	3
GCA_000479335	False	Streptococcus sp. I-G2, complete genome.	1	5
GCA_000479335_1	True	Streptococcus ilei, complete sequence	0	5
GCA_000493775	False	Streptococcus dysgalactiae subsp. equisimilis 167 DNA, complete genome.	0	4
GCA_000494895	False	Streptococcus suis T15, complete genome.	0	0
GCA_000599965	False	Streptococcus agalactiae 138P, complete genome.	0	2
GCA_000636115	False	Streptococcus agalactiae strain 138spar, complete genome.	0	2
GCA_000648525	False	Streptococcus iniae strain ISET0901, complete genome.	0	2
GCA_000648555	False	Streptococcus iniae strain ISNO, complete genome.	0	2
GCA_000688775	False	Streptococcus sp. VT 162, complete genome.	0	3
GCA_000689235	False	Streptococcus agalactiae, strain COH1, complete genome.	0	2
GCA_000696505	False	Streptococcus equi subsp. zooepidemicus CY, complete genome.	2	8
GCA_000698885	False	Streptococcus thermophilus ASCC 1275, complete genome.	1	5
GCA_000722765	False	Streptococcus mitis strain SK637 chromosome, complete genome.	0	6
GCA_000730215	False	Streptococcus agalactiae strain NGBS061, complete genome.	0	2
GCA_000730255	False	Streptococcus agalactiae strain NGBS572, complete genome.	0	2
GCA_000732355	False	Streptococcus suis 6407, complete genome.	0	0
GCA_000732385	False	Streptococcus pyogenes STAB901, complete genome.	0	3
GCA_000732425	False	Streptococcus pyogenes STAB902, complete genome.	0	3
GCA_000743015	False	Streptococcus pyogenes strain ATCC 19615, complete genome.	0	3
GCA_000756485	False	Streptococcus pyogenes strain M23ND, complete genome.	0	3
GCA_000767505	False	Streptococcus pyogenes strain 7F7, complete genome.	0	3
GCA_000767835_1	True	Streptococcus sinensis strain HKU4 scaffold9, whole genome shotgun sequence	0	1
GCA_000772185	False	Streptococcus pyogenes strain HKU360, complete genome.	0	3
GCA_000772245	False	Streptococcus pyogenes strain 1E1, complete genome.	0	3
GCA_000782855	False	Streptococcus agalactiae CNCTC 10/84, complete genome.	0	2
GCA_000785515	False	Streptococcus salivarius strain NCTC 8618, complete genome.	0	2
GCA_000817005	False	Streptococcus pneumoniae strain NT_110_58, complete genome.	0	7
GCA_000817065	False	Streptococcus mutans UA159-FR, complete genome.	1	2
GCA_000831105	False	Streptococcus agalactiae strain GBS6, complete genome.	0	2
GCA_000831125	False	Streptococcus agalactiae strain GBS2-NM, complete genome.	0	2
GCA_000831145	False	Streptococcus agalactiae strain GBS1-NY, complete genome.	0	2
GCA_000831165	False	Streptococcus anginosus strain SA1, complete genome.	0	2
GCA_000831485	False	Streptococcus iniae strain YSFST01-82, complete genome.	0	2
GCA_000967445	False	Streptococcus agalactiae 2-22, complete genome.	0	2
GCA_000970665	False	Streptococcus gordonii strain IE35, complete genome.	0	6
GCA_000971665	False	Streptococcus thermophilus strain SMQ-301, complete genome.	4	7
GCA_000993745	False	Streptococcus suis strain ZY05719, complete genome.	1	1
GCA_000993765	False	Streptococcus pyogenes strain AP1, complete genome.	0	3
GCA_001008015	False	Streptococcus thermophilus strain MN-BM-A02, complete genome.	2	6
GCA_001014285	False	Streptococcus pyogenes JRS4, complete genome.	0	3
GCA_001014305	False	Streptococcus pyogenes strain D471, complete genome.	0	3
GCA_001019635	False	Streptococcus pyogenes strain NGAS743, complete genome.	0	3
GCA_001019675	False	Streptococcus pyogenes strain NGAS596, complete genome.	0	3
GCA_001019695	False	Streptococcus pyogenes strain NGAS327, complete genome.	0	3
GCA_001020185	False	Streptococcus pyogenes strain M28PF1, complete genome.	0	3
GCA_001021955	False	Streptococcus pyogenes strain 5448, complete genome.	0	3
GCA_001023495	False	Streptococcus pyogenes strain STAB10015, complete genome.	0	3
GCA_001026925	False	Streptococcus agalactiae strain SS1, complete genome.	0	2
GCA_001039695	False	Streptococcus pyogenes H293, complete genome	0	3
GCA_001051095	False	Streptococcus pyogenes strain HKU488, complete genome.	0	3
GCA_001095405	False	Streptococcus pneumoniae strain PT8105 genome assembly, chromosome: 1	0	5
GCA_001190805	False	Streptococcus agalactiae strain HN016, complete genome.	0	2
GCA_001190865	False	Streptococcus agalactiae strain GX026, complete genome.	0	2
GCA_001190885	False	Streptococcus agalactiae strain H002, complete genome.	0	2
GCA_001255215	False	Streptococcus pneumoniae strain A66 genome assembly, chromosome: I	0	7
GCA_001266635	False	Streptococcus agalactiae strain GBS85147, complete genome.	0	2
GCA_001267805	False	Streptococcus pyogenes strain NGAS322, complete genome.	0	3
GCA_001267845	False	Streptococcus pyogenes strain NGAS638, complete genome.	0	3
GCA_001272635	False	Streptococcus suis strain NSUI002, complete genome.	0	0
GCA_001275545	False	Streptococcus agalactiae strain SG-M1, complete genome.	0	2
GCA_001280285	False	Streptococcus thermophilus strain MN-BM-A01, complete genome.	2	6
GCA_001281025	False	Streptococcus mitis strain KCOM 1350 (= ChDC B183), complete genome.	0	4
GCA_001281105	False	Streptococcus gordonii strain KCOM 1506 (= ChDC B679), complete genome.	0	6
GCA_001296205	False	Streptococcus intermedius strain KCOM 1545, complete genome.	0	4
GCA_001302265_1	True	Streptococcus phocae strain ATCC 51973 contig_99, whole genome shotgun sequence	0	0
GCA_001375655_1	True	Streptococcus varani strain FF10, whole genome shotgun sequence	0	1
GCA_001412635	False	Streptococcus anginosus strain J4211, complete genome.	0	2
GCA_001431045_1	True	Streptococcus orisasini strain SH06, whole genome shotgun sequence	0	1
GCA_001448985	False	Streptococcus agalactiae strain GBS ST-1, complete genome.	0	2
GCA_001457635	False	Streptococcus pneumoniae strain NCTC7465 genome assembly, chromosome: 1	0	5
GCA_001477575	False	Streptococcus gallolyticus strain ICDDRB-NRC-S1, complete genome.	0	2
GCA_001477615	False	Streptococcus infantarius strain ICDDRB-NRC-S5, complete genome.	0	3
GCA_001514435	False	Streptococcus thermophilus strain S9, complete genome.	4	7
GCA_001535505	False	Streptococcus pyogenes strain MEW427, complete genome.	0	3
GCA_001535565	False	Streptococcus pyogenes strain MEW123, complete genome.	0	3
GCA_001543085	False	Streptococcus salivarius strain JF, complete genome.	0	2
GCA_001547715	False	Streptococcus pyogenes JRS4 DNA, complete genome.	0	3
GCA_001547815	False	Streptococcus pyogenes DNA, complete genome, strain: MTB313.	0	3
GCA_001547835	False	Streptococcus pyogenes DNA, complete genome, strain: MTB314.	0	3
GCA_001552035	False	Streptococcus agalactiae strain NGBS128, complete genome.	0	2
GCA_001553685	False	Streptococcus sp. oral taxon 431, complete genome.	0	5
GCA_001558215	False	Streptococcus mutans strain NG8, complete genome.	0	1
GCA_001559175	False	Streptococcus pyogenes strain FDAARGOS_149, complete genome.	0	3
GCA_001560895	False	Streptococcus mitis strain SVGS_061, complete genome.	0	5
GCA_001572685	False	Streptococcus suis strain NSUI060, complete genome.	0	1
GCA_001587175	False	Streptococcus sp. A12, complete genome.	0	2
GCA_001592385	False	Streptococcus agalactiae strain CU_GBS_08 chromosome, complete genome.	0	2
GCA_001592425	False	Streptococcus agalactiae strain CU_GBS_98, complete genome.	0	2
GCA_001598035	False	Streptococcus halotolerans strain HTS9 chromosome, complete genome.	0	1
GCA_001610935	False	Streptococcus suis strain 90-1330, complete genome.	0	0
GCA_001620285	False	Streptococcus pyogenes strain AP53, complete genome.	0	3
GCA_001623565	False	Streptococcus sp. HTS5, complete genome.	1	6
GCA_001623565_1	True	Streptococcus marmotae strain HTS5 chromosome, complete genome	0	6
GCA_001635895	False	Streptococcus pyogenes strain MGAS11027, complete genome.	0	3
GCA_001635935	False	Streptococcus pyogenes strain MGAS23530, complete genome.	0	3
GCA_001635975	False	Streptococcus pyogenes strain MGAS27061, complete genome.	0	3
GCA_001638845	False	Streptococcus pyogenes strain NS53, complete genome.	0	3
GCA_001640765	False	Streptococcus suis strain DN13, complete genome.	0	0
GCA_001642085	False	Streptococcus pantholopis strain TA 26, complete genome.	0	2
GCA_001655175	False	Streptococcus agalactiae strain S25, complete genome.	0	2
GCA_001663795	False	Streptococcus thermophilus strain KLDS SM, complete genome.	3	7
GCA_001678885	False	Streptococcus pyogenes strain STAB09014, complete genome.	0	3
GCA_001683515	False	Streptococcus agalactiae strain FWL1402, complete genome.	0	2
GCA_001685375	False	Streptococcus thermophilus strain CS8, complete genome.	4	7
GCA_001697145	False	Streptococcus anginosus strain J4206, complete genome.	0	2
GCA_001705585	False	Streptococcus thermophilus strain KLDS 3.1003, complete genome.	3	6
GCA_001708305	False	Streptococcus sp. HTS2, complete genome.	1	6
GCA_001708305_1	True	Streptococcus himalayensis strain HTS2 chromosome, complete genome	0	5
GCA_001712835	False	Streptococcus agalactiae strain NGBS357, complete genome.	0	2
GCA_001721625	False	Streptococcus suis strain GZ0565, complete genome.	0	0
GCA_001729925	False	Unknown	0	0
GCA_001855705	False	Streptococcus thermophilus strain ND07, complete genome.	2	7
GCA_001885095_1	True	Streptococcus bovimastitidis strain NZ1587 contig000008, whole genome shotgun sequence	0	1
GCA_001885145	False	Streptococcus iniae strain 89353, complete genome.	0	2
GCA_001896045	False	Streptococcus pneumoniae strain SP49, complete genome.	0	6
GCA_001896065	False	Streptococcus pneumoniae strain SP61, complete genome.	0	5
GCA_001896085	False	Streptococcus pneumoniae strain SP64, complete genome.	0	5
GCA_001902455	False	Streptococcus pneumoniae strain SWU02, complete genome.	0	5
GCA_001908255	False	Streptococcus agalactiae strain S13, complete genome.	0	2
GCA_001921845_1	True	Streptococcus cuniculi strain CCUG 65085 9, whole genome shotgun sequence	0	0
GCA_001932715	False	Streptococcus agalactiae strain GBS-M002, complete genome.	0	2
GCA_001936415	False	Streptococcus suis strain SS2-1 chromosome, complete genome.	1	1
GCA_001983955	False	Streptococcus oralis strain S.MIT/ORALIS-351, complete genome.	0	4
GCA_001984715_1	True	Streptococcus azizii strain 12-5202 9, whole genome shotgun sequence	0	0
GCA_002000985	False	Streptococcus gallolyticus subsp. gallolyticus DSM 16831, complete genome.	1	7
GCA_002012365	False	Streptococcus thermophilus strain APC151, complete genome.	3	5
GCA_002025005	False	Streptococcus agalactiae strain Sag158, complete genome.	0	2
GCA_002025025	False	Streptococcus agalactiae strain Sag37, complete genome.	0	2
GCA_002055535	False	Streptococcus pyogenes strain NCTC8198 genome assembly, chromosome: 1	0	3
GCA_002073355	False	Streptococcus intermedius strain FDAARGOS_233 chromosome, complete genome.	0	4
GCA_002073435	False	Streptococcus gordonii strain FDAARGOS_257 chromosome, complete genome.	0	6
GCA_002073515	False	Streptococcus equinus strain FDAARGOS_251 chromosome, complete genome.	0	2
GCA_002073695	False	Streptococcus agalactiae strain FDAARGOS_254 chromosome, complete genome.	0	2
GCA_002073795	False	Streptococcus sp. 'group B' strain FDAARGOS_229 chromosome, complete genome.	0	1
GCA_002073815	False	Streptococcus sp. FDAARGOS_192 chromosome, complete genome.	0	1
GCA_002073835	False	Streptococcus salivarius strain FDAARGOS_259 chromosome, complete genome.	0	3
GCA_002094955	False	Streptococcus salivarius strain ATCC 27945, complete genome.	0	2
GCA_002094975	False	Streptococcus salivarius strain ATCC 25975, complete genome.	1	4
GCA_002111405	False	Streptococcus suis strain SC19, complete genome.	1	1
GCA_002163545	False	Streptococcus pyogenes strain STAB14018, complete genome.	0	3
GCA_002189695	False	Streptococcus suis strain LSM102, complete genome.	1	1
GCA_002197205	False	Streptococcus agalactiae strain CUGBS591, complete genome.	0	2
GCA_002197245	False	Streptococcus agalactiae strain SG-M50, complete genome.	0	2
GCA_002197265	False	Streptococcus agalactiae strain SG-M158, complete genome.	0	2
GCA_002197285	False	Streptococcus agalactiae strain SG-M29, complete genome.	0	2
GCA_002197305	False	Streptococcus agalactiae strain SG-M25, complete genome.	0	2
GCA_002197325	False	Streptococcus agalactiae strain SG-M8, complete genome.	0	2
GCA_002197365	False	Streptococcus agalactiae strain SG-M6, complete genome.	0	2
GCA_002197385	False	Streptococcus agalactiae strain SG-M4, complete genome.	0	2
GCA_002197425	False	Streptococcus agalactiae strain SG-M163, complete genome.	0	2
GCA_002202295	False	Streptococcus equi subsp. equi strain ATCC 39506, complete genome.	0	7
GCA_002214425	False	Streptococcus agalactiae strain C001, complete genome.	0	2
GCA_002220115	False	Streptococcus iniae strain QMA0248 chromosome, complete genome.	0	2
GCA_002236855	False	Streptococcus pyogenes strain GURSA1 chromosome, complete genome.	0	3
GCA_002236875	False	Streptococcus pyogenes strain GUR chromosome, complete genome.	0	3
GCA_002238295	False	Streptococcus pyogenes strain STAB090229, complete genome.	0	3
GCA_002238315	False	Streptococcus pyogenes strain STAB120304, complete genome.	0	3
GCA_002285535	False	Streptococcus suis strain SRD478 chromosome, complete genome.	2	2
GCA_002285735	False	Streptococcus suis strain ISU2812 chromosome, complete genome.	0	1
GCA_002286255	False	Streptococcus thermophilus strain ST3, complete genome.	4	5
GCA_002289205	False	Streptococcus agalactiae strain 874391 chromosome, complete genome.	0	1
GCA_002355175	False	Streptococcus pyogenes DNA, complete genome, strain: M3-b.	0	3
GCA_002355215	False	Streptococcus troglodytae TKU31 DNA, complete genome.	0	4
GCA_002355815	False	Streptococcus pyogenes DNA, complete genome, strain: JMUB1235.	0	3
GCA_002355895	False	Streptococcus sp. NPS 308 DNA, complete genome.	0	5
GCA_002356055	False	Streptococcus intermedius DNA, complete genome.	2	6
GCA_002356415	False	Streptococcus oralis subsp. tigurinus DNA, complete genome, strain: osk_001.	0	3
GCA_002357995	False	Streptococcus pneumoniae DNA, complete genome, strain: KK0981.	0	6
GCA_002386285	False	Streptococcus gordonii strain FDAARGOS_371 chromosome, complete genome.	0	4
GCA_002386345	False	Streptococcus oralis strain FDAARGOS_367 chromosome, complete genome.	0	2
GCA_002443035	False	Streptococcus thermophilus strain B59671 chromosome, complete genome.	1	7
GCA_002557755	False	Streptococcus pyogenes strain HarveyGAS chromosome, complete genome.	0	3
GCA_002688665	False	Streptococcus suis strain CS100322 chromosome, complete genome.	1	1
GCA_002736265	False	Streptococcus suis strain HA0609 chromosome, complete genome.	0	0
GCA_002787125	False	Streptococcus iniae strain FP5228 chromosome, complete genome.	0	2
GCA_002803825	False	Streptococcus suis strain CZ130302 chromosome, complete genome.	1	5
GCA_002812425	False	Streptococcus agalactiae strain SGEHI2015-107 chromosome, complete genome.	0	2
GCA_002812445	False	Streptococcus agalactiae strain SGEHI2015-95 chromosome, complete genome.	0	2
GCA_002812465	False	Streptococcus agalactiae strain SGEHI2015-25 chromosome, complete genome.	0	2
GCA_002812505	False	Streptococcus agalactiae strain SGEHI2015-113 chromosome, complete genome.	0	2
GCA_002812525	False	Streptococcus suis strain AH681 chromosome, complete genome.	0	3
GCA_002813535	False	Streptococcus pneumoniae strain BHN97x chromosome, complete genome.	0	5
GCA_002813955	False	Streptococcus pneumoniae strain 11A chromosome, complete genome.	0	6
GCA_002814135	False	Streptococcus uberis strain NZ01 chromosome, complete genome.	0	0
GCA_002831545	False	Streptococcus suis strain HN136 chromosome, complete genome.	1	6
GCA_002843115	False	Streptococcus thermophilus strain DGCC 7710 chromosome, complete genome.	3	7
GCA_002843545	False	Streptococcus pneumoniae Xen35, complete genome.	0	3
GCA_002844355	False	Streptococcus pyogenes strain JS12, complete genome.	0	3
GCA_002846075	False	Streptococcus thermophilus strain GABA chromosome, complete genome.	3	6
GCA_002846155	False	Streptococcus thermophilus strain EPS chromosome, complete genome.	3	7
GCA_002881155	False	Streptococcus agalactiae strain SA30, complete genome.	0	2
GCA_002881175	False	Streptococcus agalactiae strain SA33, complete genome.	0	2
GCA_002881195	False	Streptococcus agalactiae strain SA73, complete genome.	0	2
GCA_002881215	False	Streptococcus agalactiae strain SA1, complete genome.	0	2
GCA_002881235	False	Streptococcus agalactiae strain SA53, complete genome.	0	1
GCA_002881255	False	Streptococcus agalactiae strain SA5, complete genome.	0	2
GCA_002881275	False	Streptococcus agalactiae strain SA9, complete genome.	0	2
GCA_002881295	False	Streptococcus agalactiae strain SA16, complete genome.	0	2
GCA_002881315	False	Streptococcus agalactiae strain SA79, complete genome.	0	2
GCA_002881335	False	Streptococcus agalactiae strain SA81, complete genome.	0	2
GCA_002881355	False	Streptococcus agalactiae strain SA85, complete genome.	0	2
GCA_002881375	False	Streptococcus agalactiae strain SA95, complete genome.	0	1
GCA_002881395	False	Streptococcus agalactiae strain SA102, complete genome.	0	0
GCA_002881415	False	Streptococcus agalactiae strain SA136, complete genome.	0	1
